Frequency (Hz)	Level (dB)
5254.101562	-83.587402
5275.634766	-83.766731
5297.167969	-83.914383
5318.701172	-83.970459
5340.234375	-83.922440
5361.767578	-83.826263
5383.300781	-83.769295
5404.833984	-83.809235
5426.367188	-83.935852
5447.900391	-84.074028
5469.433594	-84.131699
5490.966797	-84.070282
5512.500000	-83.936317
5534.033203	-83.824554
5555.566406	-83.817543
5577.099609	-83.947350
5598.632812	-84.183304
5620.166016	-84.438339
5641.699219	-84.604492
5663.232422	-84.615417
5684.765625	-84.493912
5706.298828	-84.333237
5727.832031	-84.234955
5749.365234	-84.258324
5770.898438	-84.397972
5792.431641	-84.586403
5813.964844	-84.726860
5835.498047	-84.756569
5857.031250	-84.691238
5878.564453	-84.603111
5900.097656	-84.560692
5921.630859	-84.590828
5943.164062	-84.674431
5964.697266	-84.774254
5986.230469	-84.863518
6007.763672	-84.932304
6029.296875	-84.995186
6050.830078	-85.057503
6072.363281	-85.106049
6093.896484	-85.122650
6115.429688	-85.109390
6136.962891	-85.093826
6158.496094	-85.106796
6180.029297	-85.155350
6201.562500	-85.216911
6223.095703	-85.258881
6244.628906	-85.266861
6266.162109	-85.255081
6287.695312	-85.248970
6309.228516	-85.261520
6330.761719	-85.286552
6352.294922	-85.312119
6373.828125	-85.336067
6395.361328	-85.368271
6416.894531	-85.420197
6438.427734	-85.480019
6459.960938	-85.551620
6481.494141	-85.619293
6503.027344	-85.642181
6524.560547	-85.634071
6546.093750	-85.610062
6567.626953	-85.592720
6589.160156	-85.598213
6610.693359	-85.629570
6632.226562	-85.678566
6653.759766	-85.733093
6675.292969	-85.784172
6696.826172	-85.828499
6718.359375	-85.865234
6739.892578	-85.892670
6761.425781	-85.908386
6782.958984	-85.913536
6804.492188	-85.915031
6826.025391	-85.922630
6847.558594	-85.941116
6869.091797	-85.965088
6890.625000	-85.981438
6912.158203	-85.980019
6933.691406	-85.962799
6955.224609	-85.942841
6976.757812	-85.934921
6998.291016	-85.946945
7019.824219	-85.978050
7041.357422	-86.021675
7062.890625	-86.068619
7084.423828	-86.108780
7105.957031	-86.134644
7127.490234	-86.146072
7149.023438	-86.152435
7170.556641	-86.168655
7192.089844	-86.206093
7213.623047	-86.264801
7235.156250	-86.332443
7256.689453	-86.391472
7278.222656	-86.430229
7299.755859	-86.451408
7321.289062	-86.470390
7342.822266	-86.503349
7364.355469	-86.558479
7385.888672	-86.623352
7407.421875	-86.674614
7428.955078	-86.692215
7450.488281	-86.675209
7472.021484	-86.644630
7493.554688	-86.631409
7515.087891	-86.656830
7536.621094	-86.719315
7558.154297	-86.791367
7579.687500	-86.832954
7601.220703	-86.816841
7622.753906	-86.749420
7644.287109	-86.668243
7665.820312	-86.619118
7687.353516	-86.630508
7708.886719	-86.700874
7730.419922	-86.800179
7751.953125	-86.884033
7773.486328	-86.916771
7795.019531	-86.892281
7816.552734	-86.842972
7838.085938	-86.804794
7859.619141	-86.825577
7881.152344	-86.908936
7902.685547	-87.023819
7924.218750	-87.122643
7945.751953	-87.167175
7967.285156	-87.157196
7988.818359	-87.130638
8010.351562	-87.136223
8031.884766	-87.201759
8053.417969	-87.318573
8074.951172	-87.448631
8096.484375	-87.547401
8118.017578	-87.587845
8139.550781	-87.570633
8161.083984	-87.515282
8182.617188	-87.446663
8204.150391	-87.385559
8225.683594	-87.346420
8247.216797	-87.338280
8268.750000	-87.366058
8290.283203	-87.427956
8311.816406	-87.509216
8333.349609	-87.579559
8354.882812	-87.603554
8376.416016	-87.563110
8397.949219	-87.473000
8419.482422	-87.372475
8441.015625	-87.300301
8462.548828	-87.276428
8484.082031	-87.302208
8505.615234	-87.373177
8527.148438	-87.488335
8548.681641	-87.643661
8570.214844	-87.814392
8591.748047	-87.946098
8613.281250	-87.977562
8634.814453	-87.889221
8656.347656	-87.728401
8677.880859	-87.579010
8699.414062	-87.499535
8720.947266	-87.525223
8742.480469	-87.617195
8764.013672	-87.734337
8785.546875	-87.848976
8807.080078	-87.944847
8828.613281	-88.008919
8850.146484	-88.022369
8871.679688	-87.973297
8893.212891	-87.880241
8914.746094	-87.796768
8936.279297	-87.785301
8957.812500	-87.881119
8979.345703	-88.068634
9000.878906	-88.277733
9022.412109	-88.409927
9043.945312	-88.394211
9065.478516	-88.238213
9087.011719	-88.023567
9108.544922	-87.852760
9130.078125	-87.797470
9151.611328	-87.871544
9173.144531	-88.026352
9194.677734	-88.168495
9216.210938	-88.215141
9237.744141	-88.181343
9259.277344	-88.109428
9280.810547	-88.094795
9302.343750	-88.187950
9323.876953	-88.374847
9345.410156	-88.583626
9366.943359	-88.720985
9388.476562	-88.730095
9410.009766	-88.629944
9431.542969	-88.495750
9453.076172	-88.406227
9474.609375	-88.404762
9496.142578	-88.486122
9517.675781	-88.601830
9539.208984	-88.682426
9560.742188	-88.677612
9582.275391	-88.590019
9603.808594	-88.469162
9625.341797	-88.369362
9646.875000	-88.315811
9668.408203	-88.303123
9689.941406	-88.319084
9711.474609	-88.366882
9733.007812	-88.464119
9754.541016	-88.620277
9776.074219	-88.814590
9797.607422	-88.994347
9819.140625	-89.101433
9840.673828	-89.111153
9862.207031	-89.048294
9883.740234	-88.963181
9905.273438	-88.893433
9926.806641	-88.843643
9948.339844	-88.790550
9969.873047	-88.708443
9991.406250	-88.597786
10012.939453	-88.496109
10034.472656	-88.461891
10056.005859	-88.543907
10077.539062	-88.754028
10099.072266	-89.024391
10120.605469	-89.260246
10142.138672	-89.320129
10163.671875	-89.172684
10185.205078	-88.920204
10206.738281	-88.719032
10228.271484	-88.679077
10249.804688	-88.818108
10271.337891	-89.058151
10292.871094	-89.261375
10314.404297	-89.320076
10335.937500	-89.245438
10357.470703	-89.147255
10379.003906	-89.131111
10400.537109	-89.227257
10422.070312	-89.385323
10443.603516	-89.512444
10465.136719	-89.534142
10486.669922	-89.440147
10508.203125	-89.280586
10529.736328	-89.127563
10551.269531	-89.039322
10572.802734	-89.047707
10594.335938	-89.134979
10615.869141	-89.290627
10637.402344	-89.442940
10658.935547	-89.551689
10680.468750	-89.611176
10702.001953	-89.644516
10723.535156	-89.680801
10745.068359	-89.731003
10766.601562	-89.779602
10788.134766	-89.795448
10809.667969	-89.751472
10831.201172	-89.644852
10852.734375	-89.502655
10874.267578	-89.371681
