Frequency (Hz)	Level (dB)
3789.843750	-88.503960
3811.376953	-88.327705
3832.910156	-85.951607
3854.443359	-87.073784
3875.976562	-87.849503
3897.509766	-86.108078
3919.042969	-83.386314
3940.576172	-64.008911
3962.109375	-59.145477
3983.642578	-66.253616
4005.175781	-87.892342
4026.708984	-90.351189
4048.242188	-87.731003
4069.775391	-88.607704
4091.308594	-90.801590
4112.841797	-90.426102
4134.375000	-90.799034
4155.908203	-89.873932
4177.441406	-88.632378
4198.974609	-91.369789
4220.507812	-95.445740
4242.041016	-96.115784
4263.574219	-94.756264
4285.107422	-91.680595
4306.640625	-90.787483
4328.173828	-91.685196
4349.707031	-87.014320
4371.240234	-72.276527
4392.773438	-61.420425
4414.306641	-63.146683
4435.839844	-79.720612
4457.373047	-90.745087
4478.906250	-92.011917
4500.439453	-91.811768
4521.972656	-94.701492
4543.505859	-97.800629
4565.039062	-97.732979
4586.572266	-97.725861
4608.105469	-95.094963
4629.638672	-94.881844
4651.171875	-97.892975
4672.705078	-99.327744
4694.238281	-98.204651
4715.771484	-98.830963
4737.304688	-97.831352
4758.837891	-95.825737
4780.371094	-95.719139
4801.904297	-94.448326
4823.437500	-78.221634
4844.970703	-74.972244
4866.503906	-83.714890
4888.037109	-97.098900
4909.570312	-98.759079
4931.103516	-97.824692
4952.636719	-98.973671
4974.169922	-100.026192
4995.703125	-99.470833
5017.236328	-99.971336
5038.769531	-99.926514
5060.302734	-99.230537
5081.835938	-99.950066
5103.369141	-100.382332
5124.902344	-100.202652
5146.435547	-99.577957
5167.968750	-99.260017
5189.501953	-99.775528
5211.035156	-99.275925
5232.568359	-95.381630
5254.101562	-80.328072
5275.634766	-71.507179
5297.167969	-74.766197
5318.701172	-93.106750
5340.234375	-98.344826
5361.767578	-98.829338
5383.300781	-99.271767
5404.833984	-99.802917
5426.367188	-99.411835
5447.900391	-97.791969
5469.433594	-97.892311
5490.966797	-95.860703
5512.500000	-96.437050
5534.033203	-99.065285
5555.566406	-99.256493
5577.099609	-98.338898
5598.632812	-99.749908
5620.166016	-98.119209
5641.699219	-96.272156
5663.232422	-95.354462
5684.765625	-89.041985
5706.298828	-72.839981
5727.832031	-71.057152
5749.365234	-81.928116
5770.898438	-97.219543
5792.431641	-100.216316
5813.964844	-100.187279
5835.498047	-100.261490
